,0-4,5-9,10-19,20-29,30-49,50+
0-4,2.57503,1.483255809817071,1.250681350817872,1.8533162112849089,3.047696217775151,1.6852434069787487
5-9,1.442511226372428,6.30596,2.8725119407014166,1.2969853718137296,3.70523077110138,1.7255608100016346
10-19,0.5782499624805755,1.3656129870056801,11.937706998124531,2.08975265660165,3.381974151661799,1.7200625108207859
20-29,0.8585757515171081,0.6178186701530061,2.0938956797489405,5.238202798525644,3.954771429937195,2.2516481817757783
30-49,0.8456689459930979,1.0571602511692786,2.0296915876119783,2.3687596740029226,5.810874768960201,2.781231808099629
50+,0.5722817274131149,0.6025240237784133,1.2633466520890608,1.6505119835326103,3.403734865458675,2.8835960969437453
