age_band,n,n_pos,seroprev,suscept,suscept_lo,suscept_hi
0-4,159,94,0.5911949685534591,0.4088050314465409,0.33541837220217485,0.486494301572554
5-9,304,223,0.7335526315789473,0.26644736842105265,0.21988964763245555,0.31883395202827247
10-19,678,383,0.5648967551622419,0.4351032448377581,0.3982547241983525,0.4726830152694059
20-29,199,117,0.5879396984924623,0.4120603015075377,0.3459697269102078,0.48148172111482856
30-49,396,278,0.702020202020202,0.297979797979798,0.2550483252798773,0.3447930706776371
50+,741,725,0.9784075573549258,0.021592442645074206,0.013333910609417687,0.03478567027084356
