beta,sigma,gamma,rho,phi,R0
6.668990247751304,4.29925324617751,5.755158428801859,0.3429188091032803,18.31714604785375,1.1587848241285847
5.661526600308533,5.149148499965315,4.91251054373849,0.33705859153201284,12.632048905440277,1.15247113464718
5.467321573869295,5.3257241535159,4.7518535682404215,0.34771088714453957,13.035278062674692,1.1505660886544966
7.883435455745548,2.9970773058232663,6.592434646730484,0.283479079500301,15.691045727426458,1.1958306571389883
8.296941139193066,3.494853230880471,7.1372278055409675,0.3264000311726701,14.380343052563475,1.1624879246185416
8.129705171139621,3.5714577814512904,6.995233725745324,0.3162928645523313,14.401394866994304,1.1621777755929694
8.808838705499367,3.110429914437207,7.464763157342703,0.3142236452226077,13.45051163580364,1.1800560205094472
7.591938979783805,3.794703653072682,6.568759241123636,0.34934856856401225,14.223381251661216,1.1557645365131615
7.852694175743562,2.9364003486958086,6.5285411280209535,0.2850593389561013,19.813015524518107,1.2028252593890008
6.581306059570789,4.673226972790594,5.755975142761515,0.3435236175028711,10.083503201518521,1.143386810460288
5.196373737711884,5.388048551338738,4.4980626904347165,0.3302130508541143,13.907728857172572,1.155247068646275
5.3515108681164225,5.437220655273021,4.654449785957322,0.32938804937742394,14.087296853556623,1.1497622950541144
5.418485327926724,5.4876278421573765,4.724814588722456,0.3449857832232667,12.486311808876957,1.1468143831209745
4.742531386782761,5.297685308375302,4.055847376797942,0.3106584580729847,14.613543796577808,1.1693071622746687
4.68857388952032,5.250400195926944,3.9951644995927236,0.3148451093098473,14.36281068538469,1.1735621624587134
5.612378055739554,4.50305332971258,4.8123147154483386,0.3074948316630822,20.620577259321735,1.1662533287199355
6.508377694757592,3.7207998170766228,5.518117452683702,0.31382088756299653,20.556515581253407,1.1794561733353977
7.550446319383219,3.676911305250141,6.475892992902107,0.3065776971956956,27.877365765903292,1.1659312974533202
5.7590831075460365,4.588275497304803,4.951975740745708,0.30296218850734263,14.974198671606587,1.162986938760485
5.917323904341643,4.729534885634143,5.121202249285657,0.3294186570289094,11.644928626629014,1.1554560074574354
6.639297458696752,3.9226954662806017,5.707329392360052,0.2945469598761665,13.75950497964194,1.16329319761783
7.108343284061187,3.39058931820994,6.011184197680366,0.31878081095392424,7.788963560579057,1.1825196251354597
