parameter,mean,ci_lower,ci_upper
beta,7.568538921302345,4.234874229470146,9.944905203631254
sigma,3.781282870957046,2.59556423984116,6.25099013219973
gamma,6.452442926457715,3.5803612996850607,8.508651750256147
rho,0.31004454886266886,0.2653146952536529,0.3646887859751751
phi,13.80889151917894,7.035478794385354,26.194312641775994
R0,1.1730380148535196,1.133976723740509,1.2147903009514733
