parameter,mean,std,mcse,ess_bulk,ess_tail,rhat
beta,7.568538921302345,1.7490569761719073,0.16075654246415766,115.0636532153764,173.63993676996125,1.0065859219040665
sigma,3.781282870957046,0.9483940432000973,0.10207778691120503,112.01176890230701,105.17264570660993,1.0015773072716871
gamma,6.452442926457715,1.485841247754988,0.13436108922840756,123.21066219203479,206.5961874164307,1.0056751770369896
rho,0.31004454886266886,0.025854540108548096,0.0013276116867276247,378.1573251565387,391.6148782002143,1.0021248346806289
phi,13.80889151917894,4.9961596000411586,0.2826521164405398,337.13973268934006,364.6016263198323,0.9994033309713843
