parameter,estimate,ci_lower,ci_upper
q (transmission),0.3162744191620832,0.3152767326707576,0.3172486884718758
reporting 0-4,0.036189872030245214,0.03487962313226337,0.037561402592325405
reporting 5-9,0.013471356720932448,0.012913451681732382,0.014155801947471496
reporting 10-19,0.003816264365206378,0.003674053558359239,0.003946925774074243
reporting 20-29,0.006292044105803346,0.006003156401594396,0.006531653147064481
reporting 30-49,0.007990002344970408,0.00760865434877327,0.008288357576586166
reporting 50+,0.022027764444385457,0.01984466943194026,0.022643226156760815
seed,40.98821734521396,39.8261336641707,42.74082143824913
