beta,phi,R0
0.9336605044392858,1.9469327936590264,3.8280080682010715
0.8519129660450944,3.343411643133371,3.4928431607848864
0.7777641284552128,4.343398885337607,3.188832926666372
0.9102657874569781,3.2524767112414223,3.7320897285736097
0.8608177421454625,14.690698411682732,3.5293527427963958
0.821251719725788,15.835470895872408,3.3671320508757305
0.821251719725788,15.835470895872408,3.3671320508757305
0.821251719725788,15.835470895872408,3.3671320508757305
0.821251719725788,15.835470895872408,3.3671320508757305
0.8147709299543185,13.737494250740065,3.3405608128127056
0.806941673811702,8.343104669027884,3.308460862627978
0.806941673811702,8.343104669027884,3.308460862627978
0.8815682212596447,3.942518819486027,3.6144297071645433
0.8500639822253776,8.695094490377038,3.485262327124048
0.8643402762095744,3.1506612331595316,3.543795132459255
0.8267161150918372,2.9042978479633237,3.389536071876532
0.8885388842509732,3.9791070014840195,3.6430094254289895
0.804473250373223,8.192539627199382,3.298340326530214
0.8248809147025739,7.920127803404837,3.3820117502805527
0.8344752641272629,2.4513904043348558,3.4213485829217776
0.8791500603540221,3.5386613500729456,3.60451524745149
0.864003656794564,3.832295470233266,3.542414992857712
0.8117162582400739,7.7042175343925745,3.3280366587843027
0.8308718733870073,7.028646133114243,3.4065746808867297
0.8648438282178855,10.034259566089835,3.54585969569333
0.8615111599100403,1.6997953228910578,3.532195755631165
0.8643381360762702,5.810904148680069,3.5437863579127074
0.8251806429584354,9.184730355077118,3.383240636129585
0.8221250915158183,9.147581541587964,3.3707128752148545
0.8221250915158183,9.147581541587964,3.3707128752148545
0.8476147981789658,8.436262744581763,3.4752206725337595
0.8476147981789658,8.436262744581763,3.4752206725337595
0.8572826212402599,9.65461093292213,3.514858747085065
0.8629912919364867,13.986847451282452,3.538264296939595
0.8257528581018182,9.502996797007478,3.3855867182174544
0.8035469821278338,11.272251256606902,3.2945426267241182
0.8036119552313926,12.083293162390044,3.2948090164487094
0.8168754373061125,9.143376442966577,3.3491892929550606
0.834464796860401,8.116646980359572,3.4213056671276436
0.8109666548099875,6.673373661440479,3.3249632847209485
0.8734990985082915,4.077380830746437,3.581346303883995
0.8586635178418887,3.5208361820055347,3.5205204231517433
0.8300829381611315,4.152573615640542,3.403340046460639
0.8610479264784758,8.681621059985245,3.5302964985617504
0.8563390734147243,7.922830785779805,3.5109902010003693
0.8143794039106513,3.508180302897711,3.33895555603367
0.9028582057297362,1.5400857891070365,3.701718643491918
1.0206612295973676,1.6039394554338324,4.184711041349207
1.0380237263742622,0.7139420493552449,4.255897278134475
1.0393874077907699,0.5621503150108281,4.261488371942156
0.8347889133834498,3.209349057525356,3.4226345448721442
0.7739751929096904,2.7823140418577412,3.1732982909297305
0.9856169211662589,1.227386347863561,4.041029376781661
0.9641982341968907,1.4297191521430517,3.9532127602072515
0.8034870861137505,5.3682988413137265,3.294297053066377
0.7966193417753802,6.058628120516906,3.2661393012790585
0.7842251736441892,8.260846074134205,3.2153232119411754
0.8279635970087631,5.977872231127462,3.3946507477359282
0.8260383140207992,10.80375864688484,3.3867570874852766
0.7882310440830085,11.903092847099874,3.2317472807403345
0.8136699055288695,8.992272408583954,3.3360466126683646
0.8906297516204164,0.5647128345249581,3.6515819816437065
0.8446298458632452,14.807479604340498,3.462982368039305
0.8446298458632452,14.807479604340498,3.462982368039305
0.821279396182891,4.172485072885756,3.367245524349853
0.8084357084365124,9.71998634906659,3.3145864045897
0.8711939384074213,6.202206620206429,3.571895147470427
0.8451750812953213,6.243916644314101,3.465217833310817
0.8451750812953213,6.243916644314101,3.465217833310817
0.8451750812953213,6.243916644314101,3.465217833310817
0.8466788317164012,5.957497948718823,3.471383210037245
0.9041937506994112,2.102109517927433,3.7071943778675855
0.892135855566109,2.3990973809232363,3.6577570078210466
0.8642763687747308,3.967604769515214,3.5435331119763958
0.8551780551053338,4.8352040400618845,3.5062300259318686
0.824398240857967,8.16486374604291,3.3800327875176643
0.824398240857967,8.16486374604291,3.3800327875176643
0.824398240857967,8.16486374604291,3.3800327875176643
0.838668473858074,8.241043544211884,3.438540742818103
0.838087244381019,4.247596816504067,3.4361577019621774
0.838087244381019,4.247596816504067,3.4361577019621774
0.8400012781529191,5.907214653110927,3.4440052404269683
0.8400012781529191,5.907214653110927,3.4440052404269683
0.8400012781529191,5.907214653110927,3.4440052404269683
0.8247390681966871,9.026338580655178,3.381430179606417
0.8684530627062239,11.67369111463346,3.5606575570955177
0.8348844302881943,3.424982014372677,3.423026164181596
0.8350800997873571,3.829547567278465,3.4238284091281637
0.8608635453952045,16.555161692913373,3.5295405361203382
0.8608635453952045,16.555161692913373,3.5295405361203382
0.8608635453952045,16.555161692913373,3.5295405361203382
0.8297040021555251,9.218382077284728,3.4017864088376526
0.8614810953447515,15.579844252367797,3.532072490913481
0.8300602193537027,12.805881117247013,3.4032468993501808
0.8300602193537027,12.805881117247013,3.4032468993501808
0.8177331972781445,6.264713115105485,3.352706108840392
0.8181120706745393,15.784668632409996,3.3542594897656106
0.8181120706745393,15.784668632409996,3.3542594897656106
0.8513965071072084,5.190811182386693,3.4907256791395542
0.8419658971227694,5.6237299638581515,3.452060178203354
0.8054502254233417,13.194711475927093,3.3023459242357003
0.8086231635596075,11.550962799156398,3.3153549705943903
0.8279111297894934,2.4154284934454933,3.394435632136923
0.8702493431440875,3.126381802403084,3.5680223068907586
0.8643517729921547,4.607458284750482,3.543842269267834
0.8832159635017611,2.2475652145132425,3.6211854503572205
0.7540886268519047,3.231313872006814,3.091763370092809
0.7963306213091154,3.359310691789049,3.264955547367373
0.875135982488608,1.7609101539630927,3.5880575282032927
0.845041902700569,2.5175567734818394,3.4646718010723325
0.9136589311895752,3.2470129189899137,3.746001617877258
0.8748245591877518,1.0844683057295956,3.586780692669782
0.8073815467181217,8.377604330236268,3.3102643415442987
0.8235995262182986,9.53450661636871,3.376758057495024
0.8235995262182986,9.53450661636871,3.376758057495024
0.8286374344393537,9.839757310501795,3.3974134812013497
0.8286374344393537,9.839757310501795,3.3974134812013497
0.8286374344393537,9.839757310501795,3.3974134812013497
0.7805947508666434,9.700174893214195,3.2004384785532376
0.7677887157005144,4.842960248333121,3.147933734372109
0.8213426658381359,1.4722179187207138,3.3675049299363566
0.822143246684616,2.0418508434845783,3.3707873114069256
0.8423408602733076,2.5703930149671845,3.453597527120561
0.8882103129632721,3.571827876989862,3.641662283149415
0.8238329180399993,1.2278718318859847,3.3777149639639967
0.841469230810865,15.704192984163305,3.4500238463245463
0.8010144389255932,17.044076519489142,3.284159199594932
0.8259038135661178,11.429054164160142,3.3862056356210823
0.8129280755811215,10.792010458769507,3.3330051098825977
0.9015780102699817,2.9080568193092464,3.6964698421069246
0.811389036654102,6.950211360824621,3.326695050281818
0.8535238025789678,3.845766749279281,3.4994475905737676
0.8300313752274522,6.733952728186563,3.4031286384325536
0.8300313752274522,6.733952728186563,3.4031286384325536
0.8420303697689857,4.952045939660051,3.4523245160528413
0.7941398318260321,3.111874046935682,3.2559733104867314
0.8656137939472616,8.22750128281323,3.5490165551837722
0.8426602139262674,5.210528495356376,3.454906877097696
0.8523890654332852,5.416428123996486,3.494795168276469
