parameter,mean,ci_lower,ci_upper
beta,0.8433308399322919,0.7824278873845398,0.9293223919233244
R0,3.457656443722396,3.2079543382766134,3.8102218068856297
phi,7.3556315985123275,1.380579429534499,19.917320452909372
