day,actual,fitted
0.0,4.0,0.0
1.0,5.0,0.0
2.0,5.0,1.1420171930269079
3.0,7.0,1.885326084788762
4.0,9.0,2.5837805686178266
5.0,10.0,3.3927473596512727
6.0,4.0,4.404911985679547
7.0,13.0,5.701360340492171
8.0,9.0,7.373040587922595
9.0,20.0,9.532545304008542
10.0,18.0,12.323623033899548
11.0,30.0,15.931419143762563
12.0,29.0,20.59496683998628
13.0,36.0,26.62304695831278
14.0,57.0,34.4145536420941
15.0,48.0,44.48471600651856
16.0,58.0,57.498862697597744
17.0,124.0,74.31586331173934
18.0,150.0,96.04394567027035
19.0,201.0,124.11228483046804
20.0,320.0,160.36260160846587
21.0,438.0,207.16599698445177
22.0,510.0,267.5713619947907
23.0,698.0,345.49287105469966
24.0,689.0,445.94513460308326
25.0,856.0,575.3352500383919
26.0,1104.0,741.8206944976803
27.0,1189.0,955.7397931426448
28.0,1190.0,1230.1157906947576
29.0,1143.0,1581.2238450628704
30.0,2058.0,2029.1887611843126
31.0,1943.0,2598.5446208353947
32.0,2319.0,3318.6242773638533
33.0,1916.0,2247.709461077983
34.0,1443.0,1629.6738698089143
35.0,1424.0,1254.728259772998
36.0,1450.0,1012.6491321346294
37.0,1481.0,845.2373140935099
38.0,672.0,721.5115092190946
39.0,557.0,624.7610952719183
40.0,467.0,545.7844445421815
41.0,385.0,479.3540517998335
42.0,379.0,422.3656117685432
43.0,457.0,372.8663726396512
44.0,305.0,329.5429653072728
45.0,337.0,291.44961570245204
46.0,221.0,257.8623569137476
47.0,234.0,228.1994634110789
48.0,115.0,201.97686756877746
49.0,132.0,178.78219040365332
50.0,185.0,158.25880293990764
51.0,240.0,140.09540106805014
52.0,130.0,124.01870011133856
53.0,104.0,109.78797188481485
54.0,100.0,97.19073657103546
55.0,36.0,86.03921983457126
56.0,38.0,76.16736315725629
57.0,26.0,67.42824907591267
58.0,34.0,59.691863487502005
59.0,36.0,52.84313320671105
60.0,50.0,46.78020045789506
61.0,43.0,41.412900694280445
62.0,19.0,36.66141739839347
