metric,calibration,forecast
mean_WIS,4.454082992327366,235.02319030100332
AICc,393.3408229798595,
n_obs,17,13
MAE,6.362570134662623,297.0603388006565
PI_coverage_95,0.47058823529411764,0.46153846153846156
CI_coverage_95,0.11764705882352941,0.38461538461538464
