scenario,delay_weeks,intensity,averted_cases,relative_reduction_pct,averted_infections,factual_total,counterfactual_total
baseline,0,1.0,7676.9711066691225,51.1185330932136,663896.3449719267,7341.008952872734,15017.980059541855
delay4_intensity1.0,4,1.0,5804.927024841822,38.65318106580912,476121.0438119308,9213.053034700033,15017.980059541855
delay8_intensity1.0,8,1.0,4160.622055926816,27.70427207541346,316682.6423350826,10857.358003615042,15017.980059541855
