metric,value
MAE,32.94282535392908
AICc,754.3199731127619
mean_WIS,28.118035217391306
CI_coverage_95,0.22857142857142856
PI_coverage_95,0.5714285714285714
NLL,372.49331988971426
n_params,4
n_obs,35
