age_band,factual_cases,counterfactual_cases,averted_cases,averted_direct,averted_indirect,averted_infections,doses_given
0-4,2083.0,5127.0,3044.0,2199.0,845.0,84111.0,271495.0
5-9,1275.0,1668.0,393.0,137.0,256.0,29179.0,32889.0
10-19,1713.0,2079.0,366.0,288.0,77.0,95779.0,121119.0
20-29,1663.0,2374.0,711.0,377.0,334.0,112977.0,206321.0
30-49,2175.0,3372.0,1197.0,726.0,471.0,149769.0,376414.0
50+,303.0,398.0,95.0,0.0,95.0,4307.0,0.0
TOTAL,9213.053034700033,15017.980059541855,5804.927024841822,3727.351174649093,2077.5758501927285,476121.0438119308,1.008238e6
