q,rho_0-4,rho_5-9,rho_10-19,rho_20-29,rho_30-49,rho_50+,seed,phi
0.2764800777454963,0.05866706618546983,0.01802694566701913,0.003928171620521297,0.0074820496119454944,0.008891537641228523,0.03163527823273328,156.01724330037612,6.346819229182084
0.27398346278806995,0.06278544434727831,0.019244168088070526,0.004810726852845861,0.0077776280752663764,0.009776687542638267,0.021711198970444476,175.09633564721972,4.92552379224214
0.27508248864002544,0.060155367085296445,0.01805719324380598,0.004970042873295562,0.007524032598452035,0.008480250393815954,0.024618278309964336,166.6979564144797,5.225505923790516
0.28145228816852846,0.059462208716211364,0.018506386473336262,0.004505579218412696,0.007146472021670322,0.010168137852515087,0.02398690590992099,135.8706741810049,6.295006296723342
0.28017011938409764,0.06467389073980008,0.01787675485127427,0.004560304290853751,0.007498619779362407,0.008724327092004273,0.022849296508630483,145.30057609064744,5.689232622298686
0.27237977287957504,0.05051655721141674,0.02059015759026602,0.005192402234090472,0.0073288733538619324,0.00933936697382038,0.0249709596782794,177.15708877839222,5.05371269130802
0.2748097087992112,0.0597108035578683,0.02076276533606823,0.00539824518362333,0.007122580121349739,0.009723778316214644,0.026575393696970928,170.19120080476793,5.117438064679737
0.2721884476302952,0.06385872885547134,0.02067268246766364,0.005120549324990678,0.006902539841324463,0.010065501522888178,0.020697355152222582,165.55230851931177,5.471776187100472
0.2750964722712342,0.05756085549403927,0.01871948987250761,0.0048812952550273386,0.008192228369383232,0.010295798467501945,0.02646599965424231,160.33158670992614,5.852307506514605
0.27517067276003443,0.06146955324922039,0.01872950355714019,0.004999956706892751,0.008200907924768745,0.010273432717283586,0.027850282054832948,161.0041265901724,6.465565493704764
0.2783522070995531,0.06190012736089352,0.01807159452731226,0.004169795206984031,0.007674638801426299,0.010218276604274375,0.0235183447707613,160.205361770822,5.539342908045404
0.27862646073332453,0.05448397814625188,0.017711020052677856,0.004654665740962347,0.006922311171980549,0.009142752145073183,0.022274134100820166,144.25549128571996,5.6372287594781465
0.28373044563837096,0.0630770897918255,0.019582884544233244,0.005074310069511567,0.0079732390141458,0.008672282953850668,0.023863487289294653,116.36413179669734,7.300484178446829
0.2757736684248187,0.0590499994004585,0.016851284570494066,0.004338237815164495,0.0065665286868434045,0.009127432076555003,0.02244332002714129,150.49955728964568,5.185615562780552
0.27558262934587313,0.060906799878847354,0.016159175899923685,0.00431677768896431,0.006758145059246567,0.008877365522440017,0.02644660576913395,146.86289695897204,5.472134244853056
0.2807566748033814,0.056964645726692964,0.017837198336354308,0.004242077382492132,0.007917060328479029,0.009583425867874473,0.027618133806546815,132.06830297217235,6.772816853700743
0.27981140686178463,0.05592770133629236,0.018434042332751463,0.00459394263282002,0.007441041475271709,0.009338383775996082,0.026126936584817392,136.09205291800887,6.70831907172667
0.2790136340339048,0.05875358741343311,0.01861779857878137,0.005162424595907552,0.007355152592916456,0.00933257212128569,0.023395013916298307,139.3778674728724,7.047063034822795
0.2781058189727534,0.05447565145149763,0.0202155050360381,0.00485063056797862,0.007407619920562169,0.009391901211000038,0.028720862922746098,144.78329997112223,6.328792841865553
0.2812770000257244,0.06202814927669281,0.018285143338146643,0.005231085098274872,0.006993505212783606,0.009415221916971382,0.023059829853092316,139.50576259686002,6.642587140755693
0.2798098390013565,0.061542983480595434,0.0177773506622099,0.004941644590615514,0.007550531006779242,0.008698069329451982,0.020865073592056815,133.67802427925952,4.846539024356007
0.27726575967218514,0.06280059437539245,0.01986970238093808,0.004845923465260112,0.007728969247883532,0.010398419545399714,0.02342313969017778,141.68699406870297,5.809305235786748
0.2784386314772846,0.05802227009283246,0.018653702140036643,0.004947348752575952,0.008131466296680632,0.010153016594536008,0.02636676652398918,138.44912344989888,5.581681164425447
0.2774329227180149,0.05707466480938945,0.019322072024631185,0.004900530905118314,0.007999433261385473,0.010032411250260252,0.02670518007838911,143.29471741912917,4.90686647956469
0.2806027177590723,0.05523121394086658,0.018475266491961278,0.004497211606639013,0.006926429997272465,0.00954147996337339,0.023122401827049513,135.4124339158194,8.561950786523294
0.27829127349999205,0.05781845726241172,0.01623428142755673,0.005719974253180779,0.0063111273493059415,0.008897799534021391,0.02442372047457716,139.32961233971406,6.203052745937144
0.2763616451042441,0.06120310356785373,0.02091563154791502,0.0038742943490965064,0.008963601635003572,0.009272435834444547,0.02629767566797472,162.49777807668454,4.892145171705801
0.2768163549801099,0.05492978417643886,0.01832431406177748,0.004798297129366249,0.007873403758852862,0.009796125965850982,0.023217670076044774,140.5209467130048,4.7219776462507514
0.2767628929096285,0.057400330174593894,0.01956161350037998,0.004656193876814232,0.007337364975058444,0.00933310888287208,0.029473029171532997,139.5198326563956,9.355491830447093
0.27788986542429134,0.06010790609429565,0.017483558460999478,0.004297141811858741,0.0064008491957077175,0.010142136150993263,0.02381270325291329,160.05745372868705,6.901252712834259
