parameter,mean,ci_lower,ci_upper
q,0.27891033018151895,0.27323363262715183,0.28510534294742945
rho_0-4,0.06019994421390189,0.051782856100301755,0.07136385230272865
rho_5-9,0.0184848568420346,0.0156742634017823,0.021764623717877664
rho_10-19,0.004745272614436608,0.004113733777969511,0.00545308897583827
rho_20-29,0.007452547855035522,0.006400719493391311,0.008771547321602964
rho_30-49,0.009125632729462846,0.00783036668635396,0.010540611796920953
rho_50+,0.02420955106986429,0.019681546360636598,0.0296608911781855
seed,141.59782211353237,116.14073382772237,170.79465223399203
phi,5.714715822264088,4.176029786699698,7.638276863122573
