parameter,mean,std,mcse,ess_bulk,ess_tail,rhat
q,0.27891033018151895,0.002997652982379705,0.00013932570842445922,454.66745529705383,622.6518703295794,1.0036777775512007
rho1,0.06019994421390189,0.005016475499632065,0.00017497060174902676,881.9494959206976,580.0470141543653,0.9994481116805901
rho2,0.0184848568420346,0.0015576572391389854,5.619445648969114e-5,819.4637034119299,444.4341775412582,1.0001743988918599
rho3,0.004745272614436608,0.00035165694117214575,1.007036480344066e-5,1230.0426467113994,842.6159649460342,1.0001433959374009
rho4,0.007452547855035522,0.0005951348739456828,1.810347475223751e-5,1197.729816294965,722.4510445304383,0.9999493345840935
rho5,0.009125632729462846,0.0007063608330749678,2.195091995459878e-5,1048.315639101714,793.0973310498686,0.9997256427674185
rho6,0.02420955106986429,0.0025798951973705696,6.852403770516987e-5,1436.6136459501188,620.8807687939913,1.0040800498408073
seed,141.59782211353237,13.939687430642271,0.693057960714426,406.88820043135826,440.76862081502344,0.999392086560152
phi,5.714715822264088,0.8927408436641138,0.025666864949716293,1188.2422170319392,577.0109605943519,1.002692448373058
