parameter,mean,std,mcse,ess_bulk,ess_tail,rhat
beta,0.8378612941640896,0.031769854006761696,0.00157365128580576,420.8729287562084,572.3744244694118,1.007447684313651
phi,9.401712874045066,7.113455379179231,0.4474084307812933,204.19330745895073,212.50967176902924,1.0300447514080102
