parameter,mean,ci_lower,ci_upper
beta,0.8378612941640896,0.7849724210302582,0.9105415432339351
phi,9.401712874045066,2.301919910578825,29.377316112392737
R0,3.4352313060727675,3.2183869262240576,3.7332203272591338
