beta,phi
1.1908112463969573,2.016186446492622
1.1779580754541608,2.0206477260553615
1.1732199608365328,2.018607091816737
1.1830204571427294,2.0036078746588863
1.155882468905849,2.0690266426981636
1.1249462018200158,2.0008833709961564
1.1194930476876412,2.0004387674926107
1.1218488576349317,2.0005523435815133
1.116067033993979,2.000119389439815
1.151051940366874,2.0013388531007017
1.1603412631980317,2.011774607262869
1.1491207354280044,2.003608250509021
1.1308357763847294,2.0410746288952484
1.1308357763847294,2.0410746288952484
1.1593910646306804,2.092361360309224
1.1215843212229684,2.011495971992942
1.1384745100210651,2.001332031897782
1.167028405876893,2.013229936776707
1.149464490871104,2.000118628917614
1.1472687711882728,2.000176690011187
1.1661743767582837,2.0274679777539646
1.1184242948797618,2.0122625156254896
1.1328883775842264,2.0411095652202373
1.1337301868803955,2.029964834513543
1.1337301868803955,2.029964834513543
1.1224284889576053,2.0048887948729335
1.1470092790068613,2.03257346804388
1.1404817336580246,2.0118526368820984
1.148866540232677,2.043149007592754
1.1292207387308422,2.0264643306429475
1.1577308582168904,2.015297903153515
1.1435156827092896,2.0072463625445973
1.1494319229669605,2.0172304441476308
1.1494319229669605,2.0172304441476308
1.1386506045257612,2.0090092019049757
1.1469937065129872,2.042734932684409
1.1797865663652003,2.009842796451788
1.117760138712222,2.0598639022806715
1.1769353046506275,2.00475248303044
1.1495095135335989,2.0501225168125905
1.159914289935698,2.072916886524879
1.1471628030772316,2.0006625628590036
1.1498277254770546,2.001696867432847
1.131359503270304,2.0034463787766836
1.172762148361354,2.005028918926916
1.1138573022554787,2.0054884569328992
1.183526804712479,2.0382324192008334
1.154292616973044,2.0143319165316593
1.1418716698784765,2.0350662799270616
1.1427353685503134,2.004604035573337
1.1414184979079847,2.003419338900866
1.1504016498201042,2.000681198492115
1.1305154842629825,2.0414090028236265
1.1419429897736684,2.0085532224894953
1.1423581457169483,2.0313269092931683
1.16930534259328,2.018008081053533
1.1386465995987483,2.0038685231995377
1.160258810665696,2.0011950951886535
1.1560766060802357,2.0290211607794406
1.1560766060802357,2.0290211607794406
1.1638591056980832,2.0192082494164527
1.1070346049565185,2.0272118903305376
1.1325292936772293,2.0061396539305925
1.1360671921741248,2.007140505149592
1.1383297905874201,2.0072757518037405
1.1416320206766082,2.009407188845783
1.1257698315870428,2.0691585515327904
1.1268872265816667,2.005205850075166
1.1671346240119307,2.0251762093290164
1.1592491280536168,2.0414845966001
1.1298286252712908,2.011368966270606
1.168489704953232,2.0330340783167755
1.1445730905028042,2.017648491677006
1.1226212414609344,2.109736332176294
1.1376171521572063,2.0085579663000304
1.16385845014957,2.0165896520571676
1.1509865292072408,2.021659194957123
1.144558540401223,2.0135587595174655
1.1716792354460377,2.0019721254196017
1.1229714918374452,2.0125556114943
1.1452883660895798,2.024393495825674
1.1364778368789523,2.019636030201672
1.155017033409096,2.0055867526943763
1.138360959062049,2.026322184257475
1.1477906811891805,2.021112994234358
1.1576532726562407,2.0066698134745535
1.1501045173586646,2.0011697031538342
1.1446311044799442,2.0899567957493783
1.123500923672645,2.040837920821659
1.1411475252137357,2.004682761477098
1.1328338509707327,2.0004534307288955
1.1489680829500284,2.0007485080484946
1.1371052276944682,2.0059318526746397
1.1348085678396977,2.0294949077838873
1.1348085678396977,2.0294949077838873
1.1627893194872483,2.009469649062803
