parameter,mean,std,mcse,ess_bulk,ess_tail,rhat
beta0,0.8086462471258059,0.011426438658966634,0.0005223552545391866,482.6717044407457,592.4993988140263,1.0014748288251385
beta1,0.07937483973188078,0.007553975084445663,0.00037772631170986874,409.77060709034464,448.6682960883279,1.0005732362893973
q,0.23151972983350183,0.07450922435669027,0.004893538179330185,288.8001934367152,281.39026345375936,1.0008246897281605
t_int,24.241753375677234,1.3462081466867502,0.07932638584874126,302.5312951217734,246.6460223709559,1.0004837889796567
phi,12.38533555299815,2.8643614686748453,0.13153743256441705,465.45173019102157,536.614427755784,0.9993197538429922
