beta0,beta1,q,t_int,phi
0.8174306693937059,0.06676374954856801,0.16055734095709737,22.67198123240533,14.2483359945474
0.8138774849569218,0.06994585151817671,0.16431806572551513,22.685726433230474,13.251507665409038
0.8213343190666919,0.08131129492634549,0.19591900615189517,23.096948139224097,11.781549053289643
0.7999281842728111,0.07933798527024331,0.2305481349061271,24.87409971757757,11.996910801473451
0.80128256072464,0.07657596320931209,0.24706174182127183,25.317583479484544,12.406575669584143
0.801311309157543,0.07869906555624298,0.2617188116408452,25.579109300373187,12.935562911721263
0.8163238343677495,0.0808690785670956,0.18614901937962755,22.98141947582042,10.52490348714354
0.8066146676792516,0.07151927514589193,0.1715994877747561,23.233625326049,16.122191607843682
0.8030958948819811,0.08817567841586796,0.26454101599603635,24.86918728062192,13.466585975547414
0.8086136738522752,0.0782614328613476,0.19682445788191022,23.706489236197292,15.600052046871426
0.8133491403332265,0.07580983709382667,0.2036895932363447,23.927243792062008,15.207453493319436
0.8149976452812216,0.08156568163528802,0.20269973282319867,23.560890939495145,11.21356035655733
0.7944720591096726,0.08099932937457086,0.23714495940913896,25.13298931337024,17.8370909401406
0.795850681643981,0.08172971787956129,0.19680064048633117,23.93105944623057,16.028484810659016
0.8057972426563216,0.07177479390021091,0.2326927733147262,25.13055110790576,11.344999946209617
0.811926457534398,0.07654674585633588,0.2187629275622512,24.56576813664956,13.47699909276212
0.7989543288066354,0.07464841474071016,0.21383410665014996,24.646558794649625,13.941741112178946
0.8093636750476894,0.08619054878927952,0.2529558478679463,24.655670943832437,13.485965898948947
0.814144797638353,0.08503038050773694,0.2619081085398485,24.87419545937728,14.753151638943287
0.8012273319352847,0.07894214047544043,0.20536710720336987,24.077930351201154,14.379030646714918
0.8061574693513465,0.08690324347640804,0.29060965917596887,25.508152181688402,13.988483623846427
0.8065499155731023,0.08442797085202533,0.20490420373066637,23.900829970223747,10.647862868109387
0.7931337852336162,0.08071408412507393,0.31886909226431326,26.529046470583086,11.717489859611447
0.8196796003463624,0.09287898075695548,0.22526804618440743,23.478940107923812,11.066136806511276
0.8221944259228143,0.08096930169774953,0.21693015486997985,23.77697454504209,13.231302362679095
0.8232415450327469,0.07898209184131454,0.230707195346497,24.222443867601402,12.582558617665528
0.8183566000248987,0.08200552928255624,0.183192794470862,22.833709046332967,11.938790031883142
0.7928003368153232,0.08420538688737195,0.24877391446195518,25.222003009694298,12.405782139510709
0.8232921104391077,0.07286112893399159,0.15612937845507607,21.92179574574598,14.327121296769446
0.8246434909658028,0.07378596660577466,0.15962201740827558,22.213934142399246,13.723066251377634
0.7878110961025346,0.08831637260384342,0.44569752013114233,27.45746838053125,11.238698525851229
0.7998413542202649,0.0839080564999478,0.26364343843806465,25.32131385943744,11.634795235577668
0.8216577906220578,0.08164130707784963,0.19101545858252866,22.825426177062784,8.73872586606711
0.8211876956122615,0.07578885096687003,0.2030572270923977,23.539164062994633,11.676500556447053
0.800329973321753,0.07821135954574467,0.2051309342953578,24.10196994271911,11.551515703384153
0.8015137422326502,0.07126269554160157,0.18699747755079948,23.78678561098646,11.533049873916562
0.8106226383867116,0.09202849017565723,0.2814976246746491,24.63214783210897,9.4911333726042
0.8023237145579633,0.0798383472844185,0.206707216323711,24.323463439040513,13.012564595000505
0.8119751440681008,0.08187931104773852,0.22978673966057336,24.416022392366592,13.55929901222629
0.8108238106031977,0.07719285751461943,0.20500136603262653,23.87290930772658,12.947427816302184
0.8182602854698645,0.07642214132907676,0.2064317895441639,23.702585334260817,13.401502451682834
0.8214048246473301,0.07954822961544193,0.21307229032373318,23.92079032084761,14.137430928776036
0.8116323956600273,0.0820801125630151,0.19651307220084377,23.20438517445363,14.598742194955175
0.8148246815662477,0.07941637085844344,0.18748987145580318,23.300028030625676,13.333420884689517
0.8073992457438194,0.08233554770743097,0.24879042177635327,24.7566805278158,13.491043048696696
0.804511472077841,0.080176651812827,0.20735959294111916,24.027512510758847,11.862896446505253
0.8082390338829926,0.0768451001717554,0.20080572056082832,23.876919769397727,14.102748645839215
0.8156943802185281,0.07948078930919784,0.19580671254167367,23.416828186390376,13.247079446574494
0.8038608170998296,0.06774976869114406,0.16650330883687364,23.273459844909993,15.291773779777008
0.828932703698665,0.058622408523478504,0.12835591359568288,21.194406533456437,12.293683097423418
0.8010989790304754,0.09625368679772688,0.3597194917418842,26.043371680788784,11.128377380626679
0.7973054703218241,0.08178275191807842,0.30094361007028125,26.163069236831312,13.530898347765577
0.8103181074852853,0.0900340488329995,0.30347984040107795,25.313131452071172,13.932665048045646
0.8092548044449791,0.08707932397116368,0.33161129395399874,25.830860475828718,13.889529105390478
0.7960413479656225,0.08919864252552677,0.28964643895013287,25.583639067667946,14.734597713935743
0.801474897806702,0.08963624380228362,0.35729704700417875,26.203113876390358,14.306675190614481
0.8105094186403531,0.0812020061484957,0.403039402302095,26.747849819686067,12.063129255802137
0.8201691024075652,0.077151260833532,0.16703650484509133,22.418672315843605,15.44280476278011
0.8031115201561106,0.0804851240078537,0.24576507454672822,25.005740968334145,11.12421993934144
0.814624612026363,0.08351846970240939,0.23932528349712,24.485903864816116,10.40962561664642
0.8133317978539829,0.07605125185556846,0.23842665705700886,24.887789551996285,10.139219878437006
0.808527047614321,0.07051431141906873,0.21449167207815004,24.869282714333806,9.613380497931033
0.7969599995661539,0.07195192341203797,0.15616402201520627,23.038947167997506,13.895898947893931
0.796255703840606,0.07163479576474234,0.15534606376239682,23.088848183393903,13.836925523810498
0.8000668400274171,0.07317211567353646,0.16572386956683552,23.23931768415077,13.133891154805374
0.8076746046267492,0.07234458211665468,0.18493552665722923,23.505691082584296,13.318038069668745
0.8047246848551965,0.0884819394063688,0.2571878969961454,24.984633830664166,15.411594971700236
0.793617813871131,0.08537946454386725,0.2473246821380798,25.250175769741492,12.264919130998608
0.7967348295080042,0.08075748776445091,0.19843399326019195,23.792382568567298,13.462346777193584
0.7971735950584027,0.0812102158720638,0.1964530817567049,23.98634895482072,13.413843912338036
0.8031352345363338,0.08490257069089883,0.2424422594632148,24.80216624107517,13.317813873887676
0.798059461763354,0.07681048060027748,0.2545868307218679,25.519304748277655,14.456798254873735
0.7979663127473751,0.07617218878994578,0.24976945432010333,25.621940183867128,14.547896723390885
0.7988944935414017,0.07537784947988316,0.17564530727224031,23.475290176766844,13.900895066947985
0.8026279226416404,0.07319013191831877,0.18505775471088584,23.639008028004394,12.5015596862674
0.8126896804194003,0.07678414961964909,0.21238052997739396,24.13071140428824,15.22020584412872
0.8135516740065305,0.07885638848773117,0.17823378071447804,22.96650839234153,13.516221164164852
0.7962667230142235,0.08357234076313608,0.2456286151630847,25.18375781583365,10.473440444359387
0.7927083220071418,0.0896437141693853,0.25612927672905444,24.937155823056163,12.735075026504774
0.7948968197965481,0.08507184705415693,0.2925476406473513,25.752285335859266,12.335866155367881
0.7996499507255678,0.07860311876222995,0.2466212842820272,25.184610011565653,10.944299473070465
0.7973849703089995,0.0751536278074463,0.2132119994848359,24.660221330591497,11.07471961942516
0.8013432232523968,0.07528630548364564,0.223575728326438,24.77488198607643,9.736569325849192
0.8162440064126913,0.07201927835343844,0.16706760968317486,22.619444241564302,10.591245717782124
0.8172091098046749,0.07552043388912762,0.17373639327283966,22.814958996015502,15.606356866283637
0.8211947351014661,0.07569928476863322,0.17694692268481874,22.727707578182727,16.84845162706535
0.8205390084351809,0.07472589866868971,0.17340746948486987,22.75409330056399,14.89082930391851
0.7917588226267772,0.08701988200121091,0.23997397669727866,25.07626771112438,11.880868738554993
0.8199094106060972,0.07215481776083557,0.1669535499185143,22.886216407518564,14.528661658989558
0.8195410327343601,0.0666944241847046,0.17365953917277271,23.204750271265087,12.754258258339968
0.8174797740373521,0.08144543816151671,0.24232490884283853,24.488001036765603,11.851585833214097
0.8041385084280632,0.07614644224184867,0.17844033787889038,23.338682254340956,12.251872834601802
0.8219055644175053,0.07165833892747633,0.15459891116241237,21.89988335541631,11.150309270565515
0.8101405674075067,0.06259134810864737,0.16816538395501027,23.32330704158156,10.611491478171509
0.8137471197275895,0.08568347730130448,0.232078949769207,24.24920048745793,18.98187671898958
0.8053274240350681,0.07922797139913733,0.2668462880984271,25.53257886271628,15.058775239821484
0.8119429388302114,0.07534942850349144,0.2580258596080535,25.157307908386187,15.707596850148217
0.7901547139290763,0.08723879665586022,0.2108219669455823,24.341681874669636,11.65779614739128
0.7934837171037881,0.0913698007937366,0.2309123437238599,24.55062709605159,13.132221335681226
0.7946794107096697,0.07649543068077219,0.3267992387709776,26.766722535857852,10.586937969245131
0.7901725876852269,0.07484985952614209,0.3194810178255291,26.874618294379413,11.63878552648701
0.8246153923499951,0.09044191074658268,0.27266632490420123,24.36067455749752,7.228591922664675
0.8173665844097856,0.08170705592754599,0.2691606151006028,25.147084080571855,8.023018506175942
0.8423105570248581,0.08951945434804771,0.17287892418464998,21.47777964784342,10.595562708287813
0.8393668496976038,0.08953700220016339,0.20064430254839224,22.389702112386868,10.674565244748436
0.835785151387662,0.08522726974296747,0.19117984970220223,22.41662827635731,11.521647893844618
0.828047947176292,0.08039920472537625,0.18765410686178613,22.649400368798908,13.712501553413345
0.8338537157194831,0.07904051596593896,0.21476720108376296,23.35509334866114,13.66150483816609
0.7978858522934317,0.07292434427367522,0.20248937249455454,24.423956275376717,9.594459307329496
0.8107928626978006,0.07000074816076206,0.17739551890843427,23.326719470677112,8.968044442863391
0.798528280758173,0.07081886019257536,0.17061852382485362,23.660777343880703,12.127132804568268
0.8178008926383711,0.07324882640175898,0.17049326842439094,22.68540420810899,16.351002889935124
0.8084453482494628,0.07213356199376003,0.18594783750559138,23.619272784831537,13.73532765841704
0.8120700622503073,0.08332394964619712,0.20492291178246455,23.560780236250974,14.577411716672202
0.8230453576635763,0.07983879011335787,0.20558099409293235,23.400459529100463,8.455345825414538
0.8062930902815358,0.07278448169777615,0.18631032776686623,23.790016597070686,17.22967734872362
0.8162211485659991,0.08880379057336203,0.24175114522077723,24.157403074020472,12.432304324977016
0.8162178092682929,0.07652805735811144,0.17256798558559827,22.8958250154676,10.800679864341973
0.8020817152188324,0.07406557623474108,0.22339061764687843,24.78125723269336,12.31008317640566
0.8087918188082218,0.07746150596001798,0.16288802491142165,22.512154900439793,9.75809867428238
0.809833958817185,0.07810572244045,0.16563493601302332,22.75273837292836,10.332334370929976
0.82729756157262,0.06998137282236684,0.16889359714874366,22.75599908654984,12.857495995503525
0.8281387261171961,0.06904135809782747,0.17550325731528246,22.779923738500216,12.612761873694605
0.8159636004539602,0.0728748757415223,0.17571252121444111,22.96894005013421,9.914549703379752
0.8036865255745824,0.08342565533575465,0.19177085549111828,23.600303324015798,9.644661708296072
0.8213594162413421,0.07698159233847747,0.22889888170348513,24.403991523793483,16.56455223115821
0.7941295154391943,0.0737827223710907,0.277362359174341,26.314398722888505,7.098603361894308
0.7941697035971478,0.07481174488146035,0.29715596033317565,26.50192060874328,6.775683778586389
0.7994173419500797,0.0910858552871225,0.2998595830854578,25.48289042620331,8.877702457986576
0.8180327036695246,0.08183032307776893,0.24135998751331608,24.29610797225363,9.823969389524631
0.811095263037658,0.08482559288168294,0.28093942962318874,25.023484264914355,15.643259111206278
0.8166089225848832,0.08513589325683435,0.27924703436304793,25.049881223036092,16.172098869092455
0.7842607925072599,0.07874159805567126,0.19546686700499039,24.489907440032596,14.868048741358766
0.8134872922453088,0.06973582667188764,0.20678449347016573,24.543803412450586,9.18803112512057
0.8125134288816848,0.07440485653867125,0.19710714605248322,23.966508098920173,15.848197538400422
0.8117795451160033,0.07280640861145429,0.16121211105507902,22.706744183295367,15.836760358517775
0.8051825714167439,0.06431907600662976,0.1677406269310155,23.511736422984942,12.037380274095002
