parameter,mean,std,mcse,ess_bulk,ess_tail,rhat
beta,1.1450478372820543,0.01841831739931788,0.0007151766684155501,667.734458786096,499.18268884574496,1.0018808684741851
phi,2.0211509821326805,0.022772206860935767,0.0007599453202808948,584.5266004419259,362.5619443563123,1.0017821697446876
