parameter,mean,ci_lower,ci_upper
beta0,0.8086462471258059,0.7885244247743578,0.8307360999545369
beta1,0.07937483973188078,0.06348991797748987,0.0931548640963661
q,0.23151972983350183,0.145417902085796,0.4316098738756977
t_int,24.241753375677234,21.885018679123696,27.086343929500234
phi,12.38533555299815,7.2457529024849805,18.285618207628367
