band,averted_median,averted_lo,averted_hi,direct_median,direct_lo,direct_hi,indirect_median,indirect_lo,indirect_hi
0-4,4883.730041909322,4190.330835192615,5779.598090516926,2845.249965686705,2419.7522668014853,3357.6684172148125,2042.016366436218,1760.7854537993203,2417.9589222419063
5-9,726.3509963213914,610.6289908199724,860.2213770447117,183.3910996504673,153.46627019701822,218.2728547412446,542.2145463891709,458.13887724365486,640.7121587396657
10-19,681.1055893323626,596.8385573112253,791.6234682043942,499.4995837204815,436.5068038428892,579.7249698659743,182.74776489357833,159.0608778983688,212.98267255201392
20-29,1063.940694178647,919.5617109574596,1253.6617306949606,458.10818101500803,395.86504307706116,543.3941828449747,604.5846427955103,519.3519521177888,714.0048978824539
30-49,1623.9874857884975,1388.278872358637,1894.9275343131912,841.5485310758648,711.5863568891332,989.5961127474064,790.553054946759,673.3992812956757,912.8300552766088
50+,129.64603209229873,107.20758284663378,161.08801114572017,0.0,0.0,0.0,129.64603209229873,107.20758284663378,161.08801114572017
