age_band,factual_cases,counterfactual_cases,averted_cases,averted_direct,averted_indirect,averted_infections,doses_given
0-4,1398.0,5127.0,3729.0,2408.0,1321.0,103048.0,271495.0
5-9,1104.0,1668.0,565.0,178.0,387.0,41912.0,32889.0
10-19,1552.0,2079.0,527.0,409.0,118.0,138121.0,121119.0
20-29,1352.0,2374.0,1022.0,520.0,502.0,162420.0,206321.0
30-49,1678.0,3372.0,1694.0,1002.0,693.0,212054.0,376414.0
50+,258.0,398.0,140.0,0.0,140.0,6342.0,0.0
TOTAL,7341.008952872734,15017.980059541855,7676.9711066691225,4516.198213424061,3160.7728932450627,663896.3449719267,1.008238e6
