age_band,averted_median,averted_lo,averted_hi
TOTAL,7596.868675771316,6404.154616624502,10851.649245397814
0-4,3677.934232062219,2739.82148247944,5878.329704181389
5-9,560.4949128725732,488.92880215430716,766.7169252528755
10-19,532.0912705264028,464.5962584765175,643.6284546355832
20-29,1029.504958477002,865.3462660349035,1483.9855694520213
30-49,1680.2642605864319,1441.44544310676,2391.8887669328283
50+,153.5968760665446,101.78847662965276,197.89705198545536
