draw,q,seed,averted_total,rel_reduction,factual_total,counter_total,S0_0-4,rho_0-4,averted_0-4,S0_5-9,rho_5-9,averted_5-9,S0_10-19,rho_10-19,averted_10-19,S0_20-29,rho_20-29,averted_20-29,S0_30-49,rho_30-49,averted_30-49,S0_50+,rho_50+,averted_50+
11,0.31968339851103,44.27643426596311,12010.373951879223,60.461705003042994,7854.057511432555,19864.431463311776,0.3398038162688092,0.07696134676170116,6815.537783422164,0.23374073627932077,0.020353418554502734,818.6957479481724,0.4160515601589169,0.0041266126280205505,608.8277434939343,0.408740372929242,0.006869778981379757,1163.0464283251276,0.2917651306660833,0.011290470833104275,2425.5869821261276,0.03060615539381619,0.01874130083391483,178.67926656369744
12,0.31511021825603286,72.8760188811787,9293.138741529257,54.369280312719766,7799.489095508915,17092.62783703818,0.4086140212029818,0.04450144511631621,4258.778321167139,0.24592326476832838,0.01944794146998282,790.9245939733503,0.40679208415970824,0.004453027114617016,635.988555439581,0.37765487083534055,0.008523593493302162,1286.8013637765066,0.2929555265841881,0.01054866266327973,2146.4605515133694,0.032083034839396896,0.01823732017117636,174.1853556593113
13,0.3174613462284461,44.33792238579621,10008.828960399778,56.25881361060664,7781.857188219584,17790.68614861936,0.38755633745384876,0.05584014890929867,5163.230274285471,0.2541520770370277,0.014516380653865475,592.6950388683052,0.4356873602944229,0.0040107517177808,572.6594458544483,0.35808994305906633,0.009511077708461463,1361.1645086310293,0.27458570626361506,0.011087665879650228,2137.8048356878526,0.01765543710323355,0.035722650277466406,181.27485707267002
14,0.31397332054627747,66.48980530704686,7169.623720794732,49.3575623637728,7356.26325059479,14525.886971389524,0.44592706880776867,0.029299215423542403,3199.4773926468815,0.2748868220160559,0.013327040572573575,582.0444202589241,0.4043637996164205,0.004398618681026523,603.0205752761326,0.4551382270397447,0.005500590200409962,968.5430870254281,0.2952949159540412,0.007864958308360748,1659.4677417062517,0.023815264536026337,0.022049909188214156,157.0705038811134
15,0.31364898387825374,67.51606995165591,7166.724486436663,49.41437910459295,7336.593406655171,14503.317893091837,0.4821490191997518,0.026551523693325217,2923.2356891748836,0.2591777339767379,0.014404774144315985,598.7122721919085,0.4167628044116916,0.004203342065914708,583.6354476504209,0.34889009034690216,0.00937381632361754,1313.7865345358025,0.3187141034742198,0.00736936207808187,1591.0299055534772,0.014158186838209888,0.03773876664420755,156.32463733017119
16,0.3201009080209961,42.04846220283075,7569.021596755195,50.16466320192536,7519.33166555613,15088.353262311326,0.4357807526183635,0.032368538763477825,3552.3823602707594,0.301186570985676,0.011648434264278834,542.8958554886458,0.4237189538469696,0.004002510109896956,551.5122286261753,0.35696687526635457,0.007553301615017876,1114.174105807469,0.3241526523268344,0.007387050771791713,1685.0331790763523,0.019106615876530945,0.021420323755529023,123.02386748579289
17,0.3163569071042694,39.036264956637645,7835.06091996485,52.07023036473181,7212.041551223157,15047.102471188009,0.3979569552542446,0.03909233586404714,3850.5781900208763,0.2674953731010975,0.013621791855590294,567.0800868825262,0.44373550005523693,0.003683388445543851,509.88599536803184,0.3751167382400762,0.0069338834232089246,1031.8230817061892,0.2891837912984643,0.008339408892298556,1697.2277586818223,0.03355660576828762,0.018450673750936387,178.46580730540313
18,0.3149985936030775,40.21026249324661,7052.40974618832,49.62960788209058,7157.675819958701,14210.085566147025,0.44463677361217985,0.02962720801030681,3237.6973539434075,0.3071154875497003,0.010444027493491994,483.90860020291524,0.43772610525206385,0.003659186950795979,503.3041113377839,0.4056754014539329,0.006416072634537911,1022.4430399138964,0.283479707740038,0.00823885510628825,1679.0308967532144,0.01796365703871109,0.024166952011053597,126.02574403710264
19,0.3159306217468086,69.11029516177247,10615.288972032682,57.978109461301706,7693.843682798021,18309.132654830708,0.3359960492245127,0.06368596358791588,5298.255356063676,0.3029862632530987,0.012959028640970165,625.5477538987607,0.40403379980439963,0.004465697765086629,641.4275123409459,0.3758514805565173,0.009999428794584002,1498.8052512577515,0.2814344077940115,0.012143546585389395,2391.024710133,0.027655342298436535,0.019657166887260154,160.22838833854775
20,0.3158407799561767,40.452316287982235,7631.129823754475,51.48585488842995,7190.668979608436,14821.798803362912,0.39326962189900355,0.0382358371760347,3784.805440449295,0.24185628531828146,0.014481879892906733,556.2858853199382,0.4408930991282152,0.00382002502614835,524.7844978017594,0.4158714621288454,0.005957657702944861,964.0328399997767,0.2956100091697236,0.007911748185165797,1648.9920747570027,0.026010077635309513,0.02020956966695627,152.22908542670208
