q,rho,seed,phi
0.3003931462241966,0.009326860704405422,91.08225913484283,3.551251938091043
0.30075332568224494,0.009227256424459686,94.42801060299428,3.6740436457307775
0.29551533003239355,0.01018057661469135,89.23320868472982,5.0444963391231195
0.29361505449874403,0.008885470366722412,98.73755239571516,9.374439441872909
0.295398268831813,0.009475039629944077,90.50405767256527,4.570884272067909
0.2983003113935683,0.008125700643296978,97.25483376789641,4.548670201427532
0.29108635714731695,0.009227561619732996,99.0836989735157,7.155654900023289
0.29619865120803013,0.008511524468148488,94.497855816665,10.296899806376311
0.2955230234429505,0.009238930666599508,99.31980972877894,6.245333553598219
0.29717295319458087,0.008540564329744003,97.6946459002511,5.843832701193712
0.2920826534699011,0.01111063733295449,91.57447292761715,7.290215735097703
0.29321910940454937,0.009466232949249167,96.70124536042736,4.974833626534219
0.2946252396365832,0.008866655312718071,97.76941598159297,8.543348646522432
0.29531964467312805,0.009267927800857945,96.56016012979264,6.563850102825115
0.293008195972603,0.00877332892347206,99.1313010821978,9.603540602202447
0.2969158797314582,0.010128910224900096,82.11375998177036,8.110993412916933
0.30035434623161167,0.009785962758082148,91.61021095288937,7.466984050162897
0.2954930977514101,0.008818597215616487,93.96390529211048,7.942531053147821
0.29506485533004306,0.009210848588513912,97.15231992793882,7.828145381762944
0.29679808244037564,0.009134943664847326,96.34051474865672,6.89461785138439
0.29363585016483806,0.008673789532507914,96.08501821622517,7.557482813519782
0.29368560915903,0.010337585338672246,91.88718784405577,6.730332207758155
0.29842179954716835,0.00916414026637934,94.34458877876304,5.56307516980317
0.3003022996472019,0.00912174478836894,86.5507255914346,6.296136876219129
0.298802444896613,0.008645132528129575,87.40440530437469,7.20694512759512
0.29761405834488197,0.009240216843041344,97.18885153527117,5.121655418626094
0.297489438934692,0.00939008796506103,97.52128047833966,5.167804220083108
0.29821157227456485,0.010140770790516545,90.95598242072394,5.912971743839851
0.2960282246274472,0.008451857179986883,88.08486696224553,6.953715613299786
0.29087882691974215,0.01005334784314214,99.81954118797154,9.890377040441653
