parameter,mean,std,mcse,ess_bulk,ess_tail,rhat
q,0.29514500718147707,0.002829627569660893,9.31342573035402e-5,958.129235128474,701.196879693773,1.0046481224037456
rho,0.009367819924194705,0.000628986031935501,2.2637081163631565e-5,775.6810067913879,591.3476873645827,0.9996380661902997
seed,95.13455852397252,4.312969963630851,0.16648535472048873,558.2766541489444,363.52026265375434,1.0007525571063736
phi,6.8428013374896635,2.1901698050518483,0.09576278072881879,452.4496731811569,636.5255553051518,1.00645192331206
